"Gene" "Ensembl" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"742" "PTGES3" "ENSG00000110958" 4565.4649014355 -1.6750326414 0.5966579789 -2.8073581528 0.0049949673 0.0943994959
"743" "DMC1" "ENSG00000100206" 7.3277561372 -3.0907147289 1.1014348247 -2.8060804502 0.005014817 0.0945491377
"744" "Mar-03" "ENSG00000173926" 13.6224385398 -5.2535099555 1.8722545064 -2.8059806706 0.0050163701 0.0945491377
"745" "RALB" "ENSG00000144118" 39.126308499 3.7351647582 1.3316511094 2.8049124368 0.0050330251 0.0947357187
"746" "FAM155B" "ENSG00000130054" 4.1158830466 5.4642123587 1.94895355 2.8036647455 0.0050525412 0.0949755835
"747" "AVIL" "ENSG00000135407" 7.4919326573 3.2318822631 1.153142972 2.8026726447 0.0050681083 0.095140672
"748" "NFIC" "ENSG00000141905" 8.2820269251 -4.8841980628 1.7449417979 -2.7990607301 0.0051251497 0.0960828536
"749" "ZNF222" "ENSG00000159885" 10.9972536036 -4.9027238245 1.7527881455 -2.7971000586 0.0051563562 0.0965388287
"750" "SNHG20" "ENSG00000234912" 20.9003193319 -2.6199557062 0.9374702481 -2.7947081109 0.0051946594 0.0970211604
"752" "YAF2" "ENSG00000015153" 71.8811371364 2.7042649871 0.9691635334 2.7903082336 0.0052657884 0.0976748023
"753" "RUNX1T1" "ENSG00000079102" 213.5623475277 3.2751709907 1.1737360558 2.7903811718 0.0052646021 0.0976748023
"754" "VAMP1" "ENSG00000139190" 20.871724391 4.5628015924 1.6346334657 2.7913300982 0.0052491908 0.0976748023
"755" "ZNF280A" "ENSG00000169548" 14.7192564197 4.6343292671 1.6604133893 2.7910695596 0.0052534181 0.0976748023
"756" "SLC25A33" "ENSG00000171612" 955.0766304267 -1.8516360463 0.6634711403 -2.7908313322 0.0052572861 0.0976748023
"757" "SAT1" "ENSG00000130066" 597.6604281941 -3.3441090388 1.198972971 -2.7891446428 0.0052847457 0.0977677949
"758" "RPS6KA4" "ENSG00000162302" 72.7115595411 -3.0413334034 1.0903405493 -2.7893426558 0.0052815153 0.0977677949
"759" "PIK3C2A" "ENSG00000011405" 762.1559876473 -2.3266017692 0.8347074903 -2.787325855 0.005314501 0.0981166942
"760" "DLX3" "ENSG00000064195" 212.7550335843 -3.2278641683 1.1581289804 -2.7871370313 0.0053175988 0.0981166942
"762" "CC2D2A" "ENSG00000048342" 15.6402454906 -3.2472042402 1.1668136181 -2.7829673821 0.0053864221 0.0991257181
"763" "PYCR1" "ENSG00000183010" 378.6390967097 -3.2046641031 1.1525512242 -2.7804960298 0.0054275923 0.0997524605
