"Gene" "Ensembl" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"129" "MSANTD2" "ENSG00000120458" 26.7296489684 -6.146418351 1.3939376493 -4.4093925965 1.04e-05 0.0011268508
"130" "GRAMD3" "ENSG00000155324" 53.171948534 -6.1701463092 1.402520216 -4.3993278947 1.09e-05 0.0011713159
"131" "ALPK3" "ENSG00000136383" 10.6035281619 7.5658328858 1.7234809515 4.3898558201 1.13e-05 0.001214176
"132" "ZSCAN10" "ENSG00000130182" 23.2838561571 -7.1215118374 1.6229722855 -4.3879442064 1.14e-05 0.0012156148
"133" "MRGPRX1" "ENSG00000170255" 38.1335299164 -7.2970454036 1.6653059194 -4.3818047593 1.18e-05 0.0012409855
"134" "LINC01419" "ENSG00000253898" 22.4140508756 4.4340635218 1.012588239 4.3789403738 1.19e-05 0.0012480235
"135" "KREMEN1" "ENSG00000183762" 37.7700167027 -4.3798416037 1.0007736825 -4.3764556165 1.21e-05 0.0012529783
"136" "TTN" "ENSG00000155657" 1031.4803547651 3.759365872 0.8610205667 4.3661743024 1.26e-05 0.001303743
"137" "FBXL2" "ENSG00000153558" 20.2436804234 5.5608308278 1.2799139874 4.3446910359 1.39e-05 0.001427601
"138" "AC016629.7" "ENSG00000269028" 346.6704408068 3.1207771245 0.7196678164 4.3364133473 1.45e-05 0.0014716679
"140" "FABP5" "ENSG00000164687" 8240.266216844 -2.0756551352 0.4806915927 -4.3180599927 1.57e-05 0.0015766525
"141" "RGS3" "ENSG00000138835" 42.3550603647 -6.8978996868 1.5995576135 -4.3123796408 1.62e-05 0.0016062482
"143" "CCPG1" "ENSG00000260916" 107.3791025698 4.2002236043 0.9780762255 4.2943724579 1.75e-05 0.0017179465
"144" "PHLDA1" "ENSG00000139289" 193.2085990079 -5.9436714952 1.3861304023 -4.287959838 1.8e-05 0.0017560076
"145" "DGKH" "ENSG00000102780" 43.2307789484 3.7387598817 0.8726392453 4.2844278455 1.83e-05 0.0017718307
"147" "ZNF454" "ENSG00000178187" 22.6140330353 -4.6550476315 1.0889425448 -4.2748330972 1.91e-05 0.0018247122
"148" "UBE2J1" "ENSG00000198833" 88.2620500019 -5.5385384511 1.2971764431 -4.2696878136 1.96e-05 0.0018527644
"149" "XACT" "ENSG00000241743" 7.0645306027 6.8195356995 1.5976726655 4.2684185859 1.97e-05 0.0018527644
"150" "APOC3" "ENSG00000110245" 154.7890304848 5.396973516 1.2678659139 4.2567383955 2.07e-05 0.0019337963
"151" "LDAH" "ENSG00000118961" 115.0141708827 -4.9387256142 1.1608513679 -4.2543996163 2.1e-05 0.0019337963
"152" "ATP1B2" "ENSG00000129244" 61.895585417 6.1323261077 1.441239289 4.254897958 2.09e-05 0.0019337963
"153" "PTPRK" "ENSG00000152894" 90.248129475 -5.7953621783 1.3631293497 -4.2515130201 2.12e-05 0.0019460914
"154" "MYL6" "ENSG00000092841" 9858.4471027831 2.510610182 0.5940315449 4.2263920215 2.37e-05 0.0021483973
"155" "C10orf82" "ENSG00000165863" 8.655544975 -5.7726256371 1.3657737567 -4.2266338833 2.37e-05 0.0021483973
"156" "TWSG1" "ENSG00000128791" 24.9109819411 5.257346911 1.2450552472 4.2225812249 2.42e-05 0.0021683549
"161" "RBMS2" "ENSG00000076067" 32.2337965624 3.6121145091 0.8659160983 4.1714370667 3.03e-05 0.0026354702
"162" "TPD52" "ENSG00000076554" 73.0200911322 -4.0957932908 0.9821802545 -4.1701034734 3.04e-05 0.0026354702
"163" "NEXN" "ENSG00000162614" 68.1206603362 5.0053158029 1.2035015641 4.1589607793 3.2e-05 0.0027503902
"164" "PRSS23" "ENSG00000150687" 3613.1924759404 3.5892990807 0.8659724209 4.1448191582 3.4e-05 0.0029079084
"165" "SCNN1A" "ENSG00000111319" 71.4275437861 3.6824977454 0.8917260462 4.1296290058 3.63e-05 0.003083477
"167" "IL6R" "ENSG00000160712" 50.3601373763 -6.8612549973 1.663684467 -4.1241323902 3.72e-05 0.0031248183
"168" "ZKSCAN2" "ENSG00000155592" 16.2829793755 -6.7319386475 1.6357299083 -4.1155563723 3.86e-05 0.0032240094
"169" "DGKE" "ENSG00000153933" 10.8881586922 5.1447426769 1.2509913065 4.1125327173 3.91e-05 0.0032472123
"170" "MNT" "ENSG00000070444" 59.8338532784 4.1141366768 1.0012199835 4.1091236139 3.97e-05 0.0032761312
"173" "HERPUD1" "ENSG00000051108" 175.5798196313 -5.0972192453 1.2486870934 -4.08206289 4.46e-05 0.0036005367
"174" "PP14571" "ENSG00000218416" 13.0047127551 -6.6059502072 1.6183664688 -4.0818629987 4.47e-05 0.0036005367
"175" "FADS2" "ENSG00000134824" 86.8189999677 -5.3589371674 1.3151936162 -4.0746374538 4.61e-05 0.003692944
"176" "AMOT" "ENSG00000126016" 2356.1083491132 3.5773541132 0.8813527923 4.0589354735 4.93e-05 0.0039277891
"178" "RP11-448A19.1" "ENSG00000273328" 20.8071409602 -6.7672321188 1.669664938 -4.0530479889 5.06e-05 0.0039967766
"179" "RP3-527G5.1" "ENSG00000231811" 9.1444694154 -6.4098176974 1.5838432843 -4.0470024788 5.19e-05 0.004064139
"180" "BAZ2B" "ENSG00000123636" 43.5193060383 3.2432273974 0.8025013 4.0413983095 5.31e-05 0.0041393887
"181" "EEFSEC" "ENSG00000132394" 56.6158132329 -5.7101201907 1.4152681137 -4.0346561442 5.47e-05 0.0042132425
"184" "PTN" "ENSG00000105894" 325.3640307337 -4.2084726887 1.0468444033 -4.0201511087 5.82e-05 0.0044000412
"185" "GATA2" "ENSG00000179348" 1263.4061886361 -3.1700986066 0.7885074834 -4.020378593 5.81e-05 0.0044000412
"186" "MT-CYB" "ENSG00000198727" 407725.139905533 2.70943082 0.6740987176 4.0193383391 5.84e-05 0.0044000412
"188" "OLFML1" "ENSG00000183801" 16.2893245952 -6.2567467677 1.5629034243 -4.0032843171 6.25e-05 0.0046596007
"191" "RP11-266N13.2" "ENSG00000247345" 8.9890054413 -6.3554320021 1.593290094 -3.9888731034 6.64e-05 0.0048741247
"192" "ZHX3" "ENSG00000174306" 12.2819884368 -4.7841341295 1.2006636022 -3.9845749639 6.76e-05 0.0049373387
"193" "NANOG" "ENSG00000111704" 792.6995727176 -4.3508510129 1.0952940395 -3.9723132384 7.12e-05 0.005171656
"194" "LGALS12" "ENSG00000133317" 9.8433241417 7.1137362468 1.7916216109 3.9705572894 7.17e-05 0.0051830678
"196" "CDHR1" "ENSG00000148600" 18.4562547852 -6.6401114836 1.6744574658 -3.965530101 7.32e-05 0.0052395229
"197" "CLIC3" "ENSG00000169583" 19.1702624861 -6.6515386834 1.6781733805 -3.9635586888 7.38e-05 0.0052561834
"198" "TESMIN" "ENSG00000132749" 11.1282889014 -6.4322367185 1.6247986221 -3.9587901115 7.53e-05 0.0053351424
"199" "CITED2" "ENSG00000164442" 775.8728414867 3.3891250287 0.8583809809 3.9482760034 7.87e-05 0.0055324536
"203" "SOX9" "ENSG00000125398" 31.4864727746 -6.7827363915 1.723669047 -3.9350572567 8.32e-05 0.0056620833
"204" "IRX2" "ENSG00000170561" 96.6282157472 -4.5925830362 1.1668596062 -3.9358488473 8.29e-05 0.0056620833
"205" "CHST11" "ENSG00000171310" 154.3706390454 5.2569618509 1.3354718857 3.9364077276 8.27e-05 0.0056620833
"206" "DNAJC22" "ENSG00000178401" 18.8226250054 6.5675956881 1.6685377933 3.9361384048 8.28e-05 0.0056620833
"207" "CISH" "ENSG00000114737" 9.3217133231 -6.3270089314 1.6094812945 -3.9310857187 8.46e-05 0.0057286403
"208" "SIGIRR" "ENSG00000185187" 246.9840171906 -3.7572469005 0.9568244624 -3.9267880874 8.61e-05 0.0058038881
"209" "MYH14" "ENSG00000105357" 5.3610233894 6.0204909573 1.533855967 3.9250692938 8.67e-05 0.0058175171
"210" "DEPDC4" "ENSG00000166153" 36.294069093 -4.6147551951 1.176887914 -3.921150978 8.81e-05 0.0058847869
"211" "PARP12" "ENSG00000059378" 17.5974395371 6.7856597953 1.7316209517 3.9186750361 8.9e-05 0.0059173777
"212" "VASH1" "ENSG00000071246" 13.5107976236 7.1342431807 1.823520292 3.9123464718 9.14e-05 0.0060460063
"213" "ADGRG6" "ENSG00000112414" 24.0606089895 -6.5564025951 1.6806031631 -3.9012199543 9.57e-05 0.0062424616
"214" "ESRRG" "ENSG00000196482" 32.4966243564 -4.6667615915 1.1959634385 -3.9020938612 9.54e-05 0.0062424616
"215" "MT-ATP8" "ENSG00000228253" 6120.9957525232 2.5586721696 0.6555020124 3.9033780543 9.49e-05 0.0062424616
"216" "KDM4A-AS1" "ENSG00000236200" 17.3538134235 4.5258815588 1.1617074552 3.8958875047 9.78e-05 0.0063518864
"218" "LRP4" "ENSG00000134569" 427.486419637 4.5887629745 1.1818694964 3.8826308559 0.0001033324 0.0066469262
"219" "ART5" "ENSG00000167311" 14.1862681838 7.0970623201 1.8314960042 3.8750083558 0.000106621 0.0068271546
"220" "IL6" "ENSG00000136244" 15.4011874976 -5.527064703 1.4277566622 -3.871153152 0.0001083217 0.006904524
"221" "MT-ND5" "ENSG00000198786" 217550.98827028 2.6484865236 0.6846448675 3.8684092283 0.0001095477 0.0069510743
"222" "MT-CO2" "ENSG00000198712" 430190.533944953 2.641079985 0.6830287167 3.8667188076 0.0001103095 0.006967883
"223" "LHPP" "ENSG00000107902" 24.411393039 -5.509079763 1.4259878156 -3.8633428018 0.0001118459 0.00703325
"224" "ZNF624" "ENSG00000197566" 26.2640335558 -6.6492819068 1.7223139579 -3.8606677234 0.0001130776 0.00707896
"225" "SH3BP4" "ENSG00000130147" 946.692902121 -3.1478561426 0.8160267608 -3.8575403332 0.0001145338 0.0071382545
"226" "ACO1" "ENSG00000122729" 367.5901345469 -3.7770617701 0.9802523271 -3.8531525668 0.0001166067 0.0072352898
